id,name,cleanName,genre,releaseYear,doesName,yesSum,noSum
12533,WALL·E,wall_e,animation,2008,Does the dog die,1,27
12533,WALL·E,wall_e,animation,2008,Were animals harmed in the making,0,6
12533,WALL·E,wall_e,animation,2008,Does an animal die,0,27
12533,WALL·E,wall_e,animation,2008,Are animals abused,0,20
12533,WALL·E,wall_e,animation,2008,Is there dog fighting,0,19
12533,WALL·E,wall_e,animation,2008,Is there a dead animal,0,22
12533,WALL·E,wall_e,animation,2008,Is an animal sad,0,3
12533,WALL·E,wall_e,animation,2008,Are rabbits harmed,0,4
12533,WALL·E,wall_e,animation,2008,Does a cat die,0,23
12533,WALL·E,wall_e,animation,2008,Does a pet die,0,9
12533,WALL·E,wall_e,animation,2008,Does a dragon die,0,25
12533,WALL·E,wall_e,animation,2008,Are there spiders,4,22
12533,WALL·E,wall_e,animation,2008,Are there alligators/crocodiles?,0,5
12533,WALL·E,wall_e,animation,2008,Are there snakes,0,20
12533,WALL·E,wall_e,animation,2008,Are there sharks,0,5
12533,WALL·E,wall_e,animation,2008,Are there bugs,34,0
12533,WALL·E,wall_e,animation,2008,Does a horse die,0,30
12533,WALL·E,wall_e,animation,2008,Is a child abandoned by a parent,0,6
12533,WALL·E,wall_e,animation,2008,Is an animal abandoned,1,3
12533,WALL·E,wall_e,animation,2008,Does someone leave without saying goodbye,0,0
12533,WALL·E,wall_e,animation,2008,Is someone stalked,5,15
12533,WALL·E,wall_e,animation,2008,Does an abused person forgive their abuser,0,6
12533,WALL·E,wall_e,animation,2008,Does the abused become the abuser,0,7
12533,WALL·E,wall_e,animation,2008,Is someone gaslighted,7,12
12533,WALL·E,wall_e,animation,2008,Is someone abused with a belt,0,4
12533,WALL·E,wall_e,animation,2008,Is a child abused,1,19
12533,WALL·E,wall_e,animation,2008,Is a woman brutalized for spectacle,1,3
12533,WALL·E,wall_e,animation,2008,Is there domestic violence,0,18
12533,WALL·E,wall_e,animation,2008,Are there abusive parents,0,6
12533,WALL·E,wall_e,animation,2008,Does someone abuse alcohol,0,18
12533,WALL·E,wall_e,animation,2008,Is there addiction,4,22
12533,WALL·E,wall_e,animation,2008,Does someone use drugs,0,22
12533,WALL·E,wall_e,animation,2008,Is there pedophilia,0,8
12533,WALL·E,wall_e,animation,2008,Is someone held under water,0,6
12533,WALL·E,wall_e,animation,2008,Is rape mentioned,0,7
12533,WALL·E,wall_e,animation,2008,Is someone beaten up by a bully,1,5
12533,WALL·E,wall_e,animation,2008,Is someone restrained,9,2
12533,WALL·E,wall_e,animation,2008,Is someone sexually assaulted,0,17
12533,WALL·E,wall_e,animation,2008,Is someone's mouth covered,0,0
12533,WALL·E,wall_e,animation,2008,Are there jokes about sexual assault on men,0,7
12533,WALL·E,wall_e,animation,2008,Is someone raped onscreen,0,7
12533,WALL·E,wall_e,animation,2008,Does a woman get slapped,0,5
12533,WALL·E,wall_e,animation,2008,Is someone drugged,0,6
12533,WALL·E,wall_e,animation,2008,Are any hands damaged,0,3
12533,WALL·E,wall_e,animation,2008,Are there dislocations,0,0
12533,WALL·E,wall_e,animation,2008,Is there throat mutilation,0,4
12533,WALL·E,wall_e,animation,2008,Does someone struggle to breathe,0,13
12533,WALL·E,wall_e,animation,2008,Is there decapitation,0,7
12533,WALL·E,wall_e,animation,2008,Is there cannibalism,0,15
12533,WALL·E,wall_e,animation,2008,Is someone crushed to death,4,7
12533,WALL·E,wall_e,animation,2008,Is someone choked,0,4
12533,WALL·E,wall_e,animation,2008,Is someone burned alive,0,20
12533,WALL·E,wall_e,animation,2008,Is someone buried alive,0,16
12533,WALL·E,wall_e,animation,2008,Is there body horror,1,5
12533,WALL·E,wall_e,animation,2008,Is there amputation,0,15
12533,WALL·E,wall_e,animation,2008,Does a head get squashed,8,14
12533,WALL·E,wall_e,animation,2008,Is there Achilles Tendon injury,0,9
12533,WALL·E,wall_e,animation,2008,Is there shaving/cutting,0,19
12533,WALL·E,wall_e,animation,2008,Does someone asphyxiate,0,5
12533,WALL·E,wall_e,animation,2008,Is there genital trauma/mutilation,0,16
12533,WALL·E,wall_e,animation,2008,Does someone become unconscious,8,0
12533,WALL·E,wall_e,animation,2008,Does someone break a bone,0,18
12533,WALL·E,wall_e,animation,2008,Does someone have a seizure,0,18
12533,WALL·E,wall_e,animation,2008,Are any teeth damaged,0,20
12533,WALL·E,wall_e,animation,2008,Is there finger/toe mutilation,0,17
12533,WALL·E,wall_e,animation,2008,Is someone tortured,1,20
12533,WALL·E,wall_e,animation,2008,Does someone fall down stairs,0,8
12533,WALL·E,wall_e,animation,2008,Does someone fall to their death,5,13
12533,WALL·E,wall_e,animation,2008,Is there eye mutilation,7,17
12533,WALL·E,wall_e,animation,2008,Is someone stabbed,0,3
12533,WALL·E,wall_e,animation,2008,Is there excessive gore,0,12
12533,WALL·E,wall_e,animation,2008,Is there a hanging,0,17
12533,WALL·E,wall_e,animation,2008,Is an infant abducted,0,4
12533,WALL·E,wall_e,animation,2008,Is a minor sexualized,0,8
12533,WALL·E,wall_e,animation,2008,Does a kid die,0,19
12533,WALL·E,wall_e,animation,2008,Are there bedbugs,0,3
12533,WALL·E,wall_e,animation,2008,Does someone sacrifice themselves,7,1
12533,WALL·E,wall_e,animation,2008,Does a non-human character die,5,1
12533,WALL·E,wall_e,animation,2008,Does someone die,0,4
12533,WALL·E,wall_e,animation,2008,Does a major character die,0,4
12533,WALL·E,wall_e,animation,2008,Is someone disabled played by able-bodied,0,3
12533,WALL·E,wall_e,animation,2008,Is the r-slur used,0,7
12533,WALL·E,wall_e,animation,2008,Does someone overdose,0,6
12533,WALL·E,wall_e,animation,2008,Does a parent die,0,18
12533,WALL·E,wall_e,animation,2008,Is a child's toy destroyed,2,10
12533,WALL·E,wall_e,animation,2008,Is someone kidnapped,2,11
12533,WALL·E,wall_e,animation,2008,Does a family member die,0,6
12533,WALL·E,wall_e,animation,2008,Does someone cheat,0,16
12533,WALL·E,wall_e,animation,2008,Are there ghosts,0,18
12533,WALL·E,wall_e,animation,2008,Are there jump scares,0,15
12533,WALL·E,wall_e,animation,2008,Is there a shower scene,0,17
12533,WALL·E,wall_e,animation,2008,Are there natural bodies of water,0,0
12533,WALL·E,wall_e,animation,2008,Are there clowns,0,21
12533,WALL·E,wall_e,animation,2008,Is someone possessed,0,14
12533,WALL·E,wall_e,animation,2008,Is trypophobic content shown,0,5
12533,WALL·E,wall_e,animation,2008,Are there razors,0,4
12533,WALL·E,wall_e,animation,2008,Are there mannequins,0,3
12533,WALL·E,wall_e,animation,2008,Does someone vomit,0,21
12533,WALL·E,wall_e,animation,2008,Does someone wet/soil themselves,0,11
12533,WALL·E,wall_e,animation,2008,Is there farting,0,3
12533,WALL·E,wall_e,animation,2008,Is someone eaten,0,6
12533,WALL·E,wall_e,animation,2008,Is there on-screen pooping,0,4
12533,WALL·E,wall_e,animation,2008,Does someone spit,0,15
12533,WALL·E,wall_e,animation,2008,Is there audio gore,0,11
12533,WALL·E,wall_e,animation,2008,Are there 9/11 depictions,0,8
12533,WALL·E,wall_e,animation,2008,Is there copaganda,0,10
12533,WALL·E,wall_e,animation,2008,Is there incarceration,1,2
12533,WALL·E,wall_e,animation,2008,Is a trans person depicted predatorily,0,4
12533,WALL·E,wall_e,animation,2008,Is there deadnaming or birthnaming,0,5
12533,WALL·E,wall_e,animation,2008,Is an LGBT+ person outed,0,3
12533,WALL·E,wall_e,animation,2008,Are there transphobic slurs,0,5
12533,WALL·E,wall_e,animation,2008,Is there bisexual cheating,0,4
12533,WALL·E,wall_e,animation,2008,Is a priceless artifact destroyed,0,3
12533,WALL·E,wall_e,animation,2008,Are needles/syringes used,0,18
12533,WALL·E,wall_e,animation,2008,Is electro-therapy used,0,16
12533,WALL·E,wall_e,animation,2008,Is there a hospital scene,16,5
12533,WALL·E,wall_e,animation,2008,Is there menstruation,0,3
12533,WALL·E,wall_e,animation,2008,Does someone have cancer,0,16
12533,WALL·E,wall_e,animation,2008,Is there a mental institution scene,17,4
12533,WALL·E,wall_e,animation,2008,Does someone self harm,0,18
12533,WALL·E,wall_e,animation,2008,Is autism misrepresented,0,3
12533,WALL·E,wall_e,animation,2008,Is a mentally ill person violent,5,12
12533,WALL·E,wall_e,animation,2008,"Is there dissociation, depersonalization, or derealization",0,0
12533,WALL·E,wall_e,animation,2008,Is there D.I.D. misrepresentation,0,5
12533,WALL·E,wall_e,animation,2008,Is there autism specific abuse,3,12
12533,WALL·E,wall_e,animation,2008,Does someone attempt suicide,0,6
12533,WALL·E,wall_e,animation,2008,Is reality unstable or unhinged,1,2
12533,WALL·E,wall_e,animation,2008,Does someone have a mental illness,1,2
12533,WALL·E,wall_e,animation,2008,Is there misophonia,0,9
12533,WALL·E,wall_e,animation,2008,Are there anxiety attacks,0,11
12533,WALL·E,wall_e,animation,2008,Is there ABA therapy,1,5
12533,WALL·E,wall_e,animation,2008,"Does someone say ""I'll kill myself""",0,12
12533,WALL·E,wall_e,animation,2008,Is there body dysphoria,0,5
12533,WALL·E,wall_e,animation,2008,Is there body dysmorphia,0,13
12533,WALL·E,wall_e,animation,2008,Is there a claustrophobic scene,8,10
